method,metric_type,ari,precision,recall,f1
RePaRe_grouped,partition,1.0,1.0,0.5,0.6666666666666666
RePaRe_ungrouped,partition,1.0,0.8571428571428571,0.6,0.7058823529411764
GIES,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234
GnIES,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675
UT-IGSP,edges,,0.6,0.6153846153846154,0.6075949367088608
