density,samp_size,seed,fscore,ari
0.2,10,0,0.0,-0.0443037974683544
0.2,100,0,0.888888888888889,1.0
0.2,200,0,0.8333333333333334,1.0
0.2,500,0,0.8333333333333334,1.0
0.2,1000,0,0.8571428571428571,1.0
0.2,2000,0,0.8571428571428571,1.0
0.2,5000,0,0.8571428571428571,1.0
0.2,10000,0,0.8,1.0
0.2,20000,0,0.8,1.0
0.2,50000,0,0.8,1.0
0.2,100000,0,0.8,1.0
0.5,10,0,1.0,0.0
0.5,100,0,0.923076923076923,0.2574257425742574
0.5,200,0,0.7857142857142857,0.6564885496183206
0.5,500,0,0.7428571428571429,1.0
0.5,1000,0,0.7777777777777778,1.0
0.5,2000,0,0.7567567567567567,1.0
0.5,5000,0,0.8,1.0
0.5,10000,0,0.8,1.0
0.5,20000,0,0.8,1.0
0.5,50000,0,0.8,1.0
0.5,100000,0,0.8095238095238096,1.0
0.8,10,0,1.0,0.0
0.8,100,0,1.0,0.0247678018575851
0.8,200,0,0.9090909090909092,0.1176470588235294
0.8,500,0,1.0,0.1176470588235294
0.8,1000,0,0.9285714285714286,0.2196531791907514
0.8,2000,0,0.8648648648648648,0.3778801843317972
0.8,5000,0,0.8648648648648648,0.3778801843317972
0.8,10000,0,0.819672131147541,1.0
0.8,20000,0,0.88,0.6564885496183206
0.8,50000,0,0.8387096774193548,1.0
0.8,100000,0,0.8387096774193548,1.0
0.2,10,1,0.0,0.0112994350282485
0.2,100,1,0.7272727272727272,1.0
0.2,200,1,0.8333333333333334,1.0
0.2,500,1,0.8571428571428571,1.0
0.2,1000,1,0.8571428571428571,1.0
0.2,2000,1,0.8571428571428571,1.0
0.2,5000,1,0.8571428571428571,1.0
0.2,10000,1,0.8571428571428571,1.0
0.2,20000,1,0.8571428571428571,1.0
0.2,50000,1,0.8571428571428571,1.0
0.2,100000,1,0.8571428571428571,1.0
0.5,10,1,1.0,0.0
0.5,100,1,0.8275862068965517,0.0
0.5,200,1,0.6666666666666665,0.0
0.5,500,1,0.6530612244897959,1.0
0.5,1000,1,0.7058823529411765,1.0
0.5,2000,1,0.7307692307692308,1.0
0.5,5000,1,0.7169811320754716,1.0
0.5,10000,1,0.7169811320754716,1.0
0.5,20000,1,0.7272727272727273,1.0
0.5,50000,1,0.7142857142857143,1.0
0.5,100000,1,0.7142857142857143,1.0
0.8,10,1,1.0,0.0
0.8,100,1,0.9090909090909092,0.050632911392405
0.8,200,1,0.9090909090909092,0.1176470588235294
0.8,500,1,0.8750000000000001,0.2574257425742574
0.8,1000,1,0.8125000000000001,0.3778801843317972
0.8,2000,1,0.7878787878787878,0.4827586206896552
0.8,5000,1,0.7636363636363634,1.0
0.8,10000,1,0.7636363636363634,1.0
0.8,20000,1,0.7636363636363634,1.0
0.8,50000,1,0.7857142857142856,1.0
0.8,100000,1,0.8070175438596493,1.0
0.2,10,2,1.0,0.0
0.2,100,2,0.5714285714285715,0.6564885496183206
