density,samp_size,seed,fscore,ari
0.2,10,0,0.0,0.1385597082953509
0.2,100,0,1.0,0.6226415094339622
0.2,200,0,1.0,1.0
0.2,500,0,1.0,1.0
0.2,1000,0,1.0,1.0
0.2,2000,0,1.0,1.0
0.2,5000,0,1.0,1.0
0.2,10000,0,1.0,1.0
0.2,20000,0,1.0,1.0
0.2,50000,0,1.0,1.0
0.2,100000,0,1.0,1.0
0.5,10,0,0.0,0.1843971631205673
0.5,100,0,0.6666666666666666,0.4431946006749156
0.5,200,0,0.8571428571428571,0.6125461254612546
0.5,500,0,1.0,0.6125461254612546
0.5,1000,0,0.8571428571428571,1.0
0.5,2000,0,0.8571428571428571,1.0
0.5,5000,0,0.8571428571428571,1.0
0.5,10000,0,0.8571428571428571,1.0
0.5,20000,0,0.8571428571428571,1.0
0.5,50000,0,0.8571428571428571,1.0
0.5,100000,0,0.8571428571428571,1.0
0.8,10,0,1.0,0.0
0.8,100,0,1.0,0.003690036900369
0.8,200,0,1.0,0.003690036900369
0.8,500,0,1.0,0.0354147250698974
0.8,1000,0,1.0,0.0186915887850467
0.8,2000,0,1.0,0.0186915887850467
0.8,5000,0,1.0,0.8598130841121495
0.8,10000,0,1.0,0.8598130841121495
0.8,20000,0,1.0,0.6871896722939425
0.8,50000,0,1.0,1.0
0.8,100000,0,1.0,1.0
0.2,10,1,1.0,0.0
0.2,100,1,1.0,1.0
0.2,200,1,1.0,1.0
0.2,500,1,1.0,1.0
0.2,1000,1,1.0,1.0
0.2,2000,1,1.0,1.0
0.2,5000,1,1.0,1.0
0.2,10000,1,1.0,1.0
0.2,20000,1,1.0,1.0
0.2,50000,1,1.0,1.0
0.2,100000,1,1.0,1.0
0.5,10,1,1.0,0.0
0.5,100,1,1.0,0.2982456140350877
0.5,200,1,0.8,0.6463654223968566
0.5,500,1,0.8,0.6463654223968566
0.5,1000,1,0.8,1.0
0.5,2000,1,0.8,1.0
0.5,5000,1,0.8,1.0
0.5,10000,1,0.8,1.0
0.5,20000,1,0.8,1.0
0.5,50000,1,0.8,1.0
0.5,100000,1,0.8,1.0
0.8,10,1,1.0,0.0
0.8,100,1,1.0,0.0
0.8,200,1,1.0,0.0
0.8,500,1,1.0,0.6908734052993131
0.8,1000,1,1.0,0.2982456140350877
0.8,2000,1,1.0,0.6908734052993131
0.8,5000,1,1.0,0.6908734052993131
0.8,10000,1,1.0,0.6908734052993131
0.8,20000,1,0.8,1.0
0.8,50000,1,0.8,1.0
0.8,100000,1,0.8,1.0
0.2,10,2,1.0,0.3859649122807017
0.2,100,2,0.6666666666666666,0.6463654223968566
0.2,200,2,1.0,1.0
0.2,500,2,1.0,1.0
0.2,1000,2,1.0,1.0
0.2,2000,2,1.0,1.0
0.2,5000,2,1.0,1.0
0.2,10000,2,1.0,1.0
0.2,20000,2,1.0,1.0
0.2,50000,2,1.0,1.0
0.2,100000,2,1.0,1.0
0.5,10,2,1.0,0.0
0.5,100,2,1.0,0.6064139941690962
0.5,200,2,1.0,1.0
0.5,500,2,1.0,1.0
0.5,1000,2,1.0,1.0
0.5,2000,2,1.0,1.0
0.5,5000,2,1.0,1.0
0.5,10000,2,1.0,1.0
0.5,20000,2,1.0,1.0
0.5,50000,2,1.0,1.0
0.5,100000,2,1.0,1.0
0.8,10,2,1.0,0.0
0.8,100,2,1.0,0.0
0.8,200,2,1.0,0.0
0.8,500,2,1.0,0.1860465116279069
0.8,1000,2,1.0,0.3357933579335793
0.8,2000,2,1.0,0.6064139941690962
0.8,5000,2,1.0,0.8598130841121495
0.8,10000,2,1.0,0.9521785334750266
0.8,20000,2,1.0,0.9521785334750266
0.8,50000,2,1.0,0.9521785334750266
0.8,100000,2,1.0,0.9521785334750266
0.2,10,3,1.0,0.0
0.2,100,3,0.6666666666666666,0.7115384615384616
0.2,200,3,0.8,1.0
0.2,500,3,0.8,1.0
0.2,1000,3,0.8,1.0
0.2,2000,3,0.8,1.0
0.2,5000,3,0.8,1.0
0.2,10000,3,0.8,1.0
0.2,20000,3,0.8,1.0
0.2,50000,3,0.8,1.0
0.2,100000,3,0.8,1.0
0.5,10,3,1.0,0.0
0.5,100,3,1.0,0.3181818181818182
0.5,200,3,1.0,0.2808219178082192
0.5,500,3,0.9090909090909092,0.52
0.5,1000,3,0.8,0.52
0.5,2000,3,1.0,1.0
0.5,5000,3,1.0,1.0
0.5,10000,3,1.0,1.0
0.5,20000,3,1.0,1.0
0.5,50000,3,1.0,1.0
0.5,100000,3,1.0,1.0
0.8,10,3,1.0,0.0
0.8,100,3,1.0,0.0207253886010362
0.8,200,3,0.9090909090909092,0.3509615384615384
0.8,500,3,1.0,0.418331374853114
0.8,1000,3,1.0,0.6298472385428907
0.8,2000,3,1.0,0.6298472385428907
0.8,5000,3,1.0,1.0
0.8,10000,3,1.0,1.0
0.8,20000,3,1.0,1.0
0.8,50000,3,1.0,1.0
0.8,100000,3,1.0,1.0
0.2,10,4,1.0,0.0
