method,selection,metric_type,ari,precision,recall,f1,runtime_sec,score,alpha,beta,alpha_ci,alpha_inv
RePaRe_grouped,score,partition,0.9317038102084831,1.0,0.5,0.6666666666666666,0.021767417001683498,1182930.6738037923,0.001,0.0001,,
RePaRe_grouped,oracle,partition,1.0,1.0,0.5,0.6666666666666666,0.022722624999005347,1182984.5241716998,0.0001,0.0001,,
RePaRe_ungrouped,score,partition,1.0,1.0,0.8,0.888888888888889,0.13640337499964517,1164929.9964358858,0.0001,0.01,,
RePaRe_ungrouped,oracle,partition,1.0,1.0,0.8,0.888888888888889,0.13640337499964517,1164929.9964358858,0.0001,0.01,,
GIES,score,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234,2.05558325000311,-1148242.1911793733,,,,
GnIES,score,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675,411.04185362499993,-540269.8670118634,,,,
UT-IGSP,score,edges,,0.4888888888888889,0.5641025641025641,0.5238095238095238,0.2473378340000636,1908876.6208823358,,,0.001,0.001
UT-IGSP,oracle,edges,,0.5111111111111111,0.5897435897435898,0.5476190476190476,0.5218997080010013,1908879.065543168,,,0.001,0.01
