reference,ari,fscore,num_parts,num_edges
raf,0.0147523709167544,0.1428571428571428,8,4
plc,0.2389937106918239,0.1818181818181818,7,2
pip3,-0.0429835651074589,0.6,6,3
pka,-0.0377358490566037,0.4,7,2
pkc,-0.1767441860465116,0.5714285714285715,6,2
p38,-0.0094117647058823,1.0,2,1
