method,selection,metric_type,ari,precision,recall,f1,runtime_sec,score,alpha,beta,alpha_ci,alpha_inv
RePaRe_grouped,score,partition,0.6263656227239621,1.0,0.5,0.6666666666666666,0.020748165999975754,1329123.1412246637,0.1,0.0001,,
RePaRe_grouped,oracle,partition,1.0,1.0,0.5,0.6666666666666666,0.021631457999319537,1400296.804638136,0.0001,0.0001,,
RePaRe_ungrouped,score,partition,0.8161586840832123,1.0,0.6666666666666666,0.8,0.15697949999957928,1183731.1585969192,0.01,0.1,,
RePaRe_ungrouped,oracle,partition,1.0,1.0,0.8,0.888888888888889,0.1427858329989249,1274568.8541257675,0.0001,0.01,,
GIES,score,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234,2.048109082999872,-1148242.1911793733,,,,
GnIES,score,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675,412.2506460839977,-540269.8670118634,,,,
UT-IGSP,score,edges,,0.4888888888888889,0.5641025641025641,0.5238095238095238,0.25137816699862015,1908875.9252969197,,,0.001,0.1
UT-IGSP,oracle,edges,,0.5111111111111111,0.5897435897435898,0.5476190476190476,0.4666283749975264,1908882.7088285126,,,0.001,0.001
