alpha,beta,ari,score,fit_time,num_parts,num_edges,precision,recall,f1
0.0001,0.0001,1.0,1378898.3564278744,0.022997584001132054,4,2,1.0,0.5,0.6666666666666666
0.0001,0.001,1.0,1378898.3564278744,0.020260540997696808,4,2,1.0,0.5,0.6666666666666666
0.0001,0.01,1.0,1378898.3564278744,0.019914540996978758,4,2,1.0,0.5,0.6666666666666666
0.0001,0.1,1.0,1378898.3564278744,0.020343916999991052,4,2,1.0,0.5,0.6666666666666666
0.001,0.0001,0.9317038102084831,1328956.3298382491,0.021353833999455674,4,2,1.0,0.5,0.6666666666666666
0.001,0.001,0.9317038102084831,1328956.3298382491,0.021012000001064735,4,2,1.0,0.5,0.6666666666666666
0.001,0.01,0.9317038102084831,1328956.3298382491,0.022008291001839098,4,2,1.0,0.5,0.6666666666666666
0.001,0.1,0.9317038102084831,1328956.3298382491,0.029786208000587067,4,2,1.0,0.5,0.6666666666666666
0.01,0.0001,0.9317038102084831,1328956.3298382491,0.02002849999917089,4,2,1.0,0.5,0.6666666666666666
0.01,0.001,0.9317038102084831,1328956.3298382491,0.022308249997877283,4,2,1.0,0.5,0.6666666666666666
0.01,0.01,0.9317038102084831,1328956.3298382491,0.02119391700034612,4,2,1.0,0.5,0.6666666666666666
0.01,0.1,0.9317038102084831,1328956.3298382491,0.021192416999838315,4,2,1.0,0.5,0.6666666666666666
0.1,0.0001,0.6263656227239621,1311851.7265554422,0.020576958999299677,4,2,1.0,0.5,0.6666666666666666
0.1,0.001,0.6263656227239621,1311851.7265554422,0.023187582999526057,4,2,1.0,0.5,0.6666666666666666
0.1,0.01,0.6263656227239621,1311851.7265554422,0.021196959001827054,4,2,1.0,0.5,0.6666666666666666
0.1,0.1,0.6263656227239621,1311851.7265554422,0.02255650000006426,4,2,1.0,0.5,0.6666666666666666
