method,selection,metric_type,ari,precision,recall,f1,runtime_sec,score,alpha,beta,alpha_ci,alpha_inv
RePaRe_grouped,score,partition,0.6263656227239621,1.0,0.5,0.6666666666666666,0.020576958999299677,1311851.7265554422,0.1,0.0001,,
RePaRe_grouped,oracle,partition,1.0,1.0,0.5,0.6666666666666666,0.022997584001132054,1378898.3564278744,0.0001,0.0001,,
RePaRe_ungrouped,score,partition,0.8161586840832123,1.0,0.6666666666666666,0.8,0.15599524999925052,1175288.4342674084,0.01,0.1,,
RePaRe_ungrouped,oracle,partition,1.0,1.0,0.8,0.888888888888889,0.14017266700102482,1264644.257971017,0.0001,0.01,,
GIES,score,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234,2.0354388750020007,-1148242.1911793733,,,,
GnIES,score,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675,407.8541061670003,-540269.8670118634,,,,
UT-IGSP,score,edges,,0.37777777777777777,0.4358974358974359,0.40476190476190477,0.16136516699771164,1908879.3730926777,,,0.001,0.0001
UT-IGSP,oracle,edges,,0.5,0.5641025641025641,0.5301204819277109,0.17745866599943838,1908912.4114964027,,,0.0001,0.001
