density,samp_size,seed,num_nodes,num_intervs,graph_family,method,metric_type,precision,recall,fscore,ari,runtime_sec,score
0.2,10,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0116318029758986,
0.2,100,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0523171849781647,
0.2,200,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0069079550157766,
0.2,500,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.014458050020039,
0.2,1000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0086772019858472,
0.2,2000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0351421380182728,
0.2,5000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0225220939901191,
0.2,10000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0600487850024364,
0.2,20000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0839076150150504,
0.2,50000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1917534439999144,
0.2,100000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2536876370140817,
0.5,10,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0059766059857793,
0.5,100,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0107735810161102,
0.5,200,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.1269841269841269,0.0184281530091539,
0.5,500,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.1269841269841269,0.0104160449991468,
0.5,1000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0156135110009927,
0.5,2000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.022543388971826,
0.5,5000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0243570180027745,
0.5,10000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0554931589867919,
0.5,20000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0424527020077221,
0.5,50000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.112184107012581,
0.5,100000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.5686945210036356,
0.8,10,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0056429250107612,
0.8,100,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0037787610199302,
0.8,200,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0064185909868683,
0.8,500,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.8004434589800443,0.0222336020087823,
0.8,1000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.8004434589800443,0.0293612760142423,
0.8,2000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.8004434589800443,0.0554918969864957,
0.8,5000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.054975746985292,
0.8,10000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0504520270042121,
0.8,20000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1025313010031823,
0.8,50000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2846071039966773,
0.8,100000,0,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.540657655976247,
0.2,10,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.002176642010454,
0.2,100,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,-0.0932944606413994,0.0120211319881491,
0.2,200,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.5833333333333334,0.0054237169970292,
0.2,500,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0166205100249499,
0.2,1000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0232660780020523,
0.2,2000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0238576589908916,
0.2,5000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.03607179998653,
0.2,10000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0377905280038248,
0.2,20000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0749956429935991,
0.2,50000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2306980050052516,
0.2,100000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.4844728859898168,
0.5,10,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0045571950031444,
0.5,100,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.023508137432188,0.0149128839839249,
0.5,200,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.2828685258964143,0.0144873609824571,
0.5,500,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0321811560133937,
0.5,1000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0149558130069635,
0.5,2000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0223669950210023,
0.5,5000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.048815640999237,
0.5,10000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0406791849818546,
0.5,20000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0882369729806669,
0.5,50000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0998871400079224,
0.5,100000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.2885018289962318,
0.8,10,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.005218053003773,
0.8,100,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.2424242424242424,0.0076161799952387,
0.8,200,1,10,2,sf,RePaRe,partition,1.0,0.6666666666666666,0.8,0.2527675276752767,0.0141496529977303,
0.8,500,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.3737574552683896,0.0157529529824387,
0.8,1000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.3737574552683896,0.0110217260080389,
0.8,2000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.015173419000348,
0.8,5000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0265583060099743,
0.8,10000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.037430061987834,
0.8,20000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.160008590988582,
0.8,50000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.3270678739936556,
0.8,100000,1,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.5202813089999836,
0.2,10,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.004935392003972,
0.2,100,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.017056546988897,
0.2,200,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0241675399884115,
0.2,500,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0163546199910342,
0.2,1000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0099891709978692,
0.2,2000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0220299749926198,
0.2,5000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0392218970227986,
0.2,10000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0444514979899395,
0.2,20000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.0904676629870664,
0.2,50000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.1067639680113643,
0.2,100000,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,1.0,0.5304623630072456,
0.5,10,2,10,2,sf,RePaRe,partition,1.0,1.0,1.0,0.0,0.0023617889964953,
