method,selection,metric_type,ari,precision,recall,f1,runtime_sec,score,alpha,beta,alpha_ci,alpha_inv
RePaRe_grouped,score,partition,0.9317038102084831,1.0,0.5,0.6666666666666666,0.06396549299824983,1182930.6738037649,0.001,0.0001,,
RePaRe_grouped,oracle,partition,1.0,1.0,0.5,0.6666666666666666,0.1409158939786721,1182984.5241716714,0.0001,0.0001,,
RePaRe_ungrouped,score,partition,1.0,1.0,0.8,0.888888888888889,0.7532363419886678,1164929.996435871,0.0001,0.01,,
RePaRe_ungrouped,oracle,partition,1.0,1.0,0.8,0.888888888888889,0.7532363419886678,1164929.996435871,0.0001,0.01,,
GIES,score,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234,7.227493259997573,-1148242.1911793808,,,,
GnIES,score,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675,1966.9163453940128,-540269.8670118647,,,,
UT-IGSP,score,edges,,0.3333333333333333,0.3846153846153846,0.3571428571428571,1.116712994989939,1908872.580871221,,,0.001,0.001
UT-IGSP,oracle,edges,,0.5348837209302325,0.5897435897435898,0.5609756097560975,0.5368879019806627,1908905.1949151892,,,0.0001,0.1
