density,samp_size,seed,num_nodes,num_intervs,graph_family,method,metric_type,precision,recall,fscore,ari,runtime_sec,score
0.2,10,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0113263689854647,
0.2,100,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6226415094339622,0.0140338930068537,
0.2,200,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6226415094339622,0.0157681819982826,
0.2,500,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0168871349887922,
0.2,1000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0330706550157628,
0.2,2000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0235725199745502,
0.2,5000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0288779429974965,
0.2,10000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0262127590249292,
0.2,20000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.061686450993875,
0.2,50000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1718001469853334,
0.2,100000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.454019277007319,
0.5,10,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0041324959893245,
0.5,100,0,10,2,er,RePaRe,partition,0.5,1.0,0.6666666666666666,0.4431946006749156,0.009501224005362,
0.5,200,0,10,2,er,RePaRe,partition,0.5,1.0,0.6666666666666666,0.4431946006749156,0.0304205360007472,
0.5,500,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6125461254612546,0.0338523779937531,
0.5,1000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0122039889974985,
0.5,2000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0570597180048935,
0.5,5000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.020573001995217,
0.5,10000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0596290320099797,
0.5,20000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.126009582018014,
0.5,50000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3306535849987995,
0.5,100000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.7155684589815792,
0.8,10,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0029785500082653,
0.8,100,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,-0.1240310077519379,0.0043116740125697,
0.8,200,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.003690036900369,0.0226306600088719,
0.8,500,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.003690036900369,0.0077487159869633,
0.8,1000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0186915887850467,0.0147257130010984,
0.8,2000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0186915887850467,0.0331157309992704,
0.8,5000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.1870350690754516,0.0362720249977428,
0.8,10000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.1870350690754516,0.052129914984107,
0.8,20000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6871896722939425,0.2068396719987504,
0.8,50000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6871896722939425,0.366467215004377,
0.8,100000,0,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2580238659866154,
0.2,10,1,10,2,er,RePaRe,partition,0.0,1.0,0.0,0.5833333333333334,0.0059473880100995,
0.2,100,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0096093690081033,
0.2,200,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0270088269899133,
0.2,500,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0045663130003958,
0.2,1000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0043201520165894,
0.2,2000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0145206750021316,
0.2,5000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0121780179906636,
0.2,10000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0395131460099946,
0.2,20000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0724660890118684,
0.2,50000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2435299069911707,
0.2,100000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2975055340211838,
0.5,10,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0054675829887855,
0.5,100,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.2982456140350877,0.0034459979797247,
0.5,200,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6463654223968566,0.0383505069767124,
0.5,500,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0300268639985006,
0.5,1000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0272162790060974,
0.5,2000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0272927699843421,
0.5,5000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0655910739733371,
0.5,10000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0487768790044356,
0.5,20000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1387838179944083,
0.5,50000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2879409620072692,
0.5,100000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.37023559800582,
0.8,10,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.006573485006811,
0.8,100,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0053155130008235,
0.8,200,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.013648958003614,
0.8,500,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.2982456140350877,0.0101349060132633,
0.8,1000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.2982456140350877,0.0085098200070206,
0.8,2000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6908734052993131,0.008806675003143,
0.8,5000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6908734052993131,0.014519685995765,
0.8,10000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.6908734052993131,0.0087220190034713,
0.8,20000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0684511459839996,
0.8,50000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3085159609909169,
0.8,100000,1,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5234375550062396,
0.2,10,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0116362500120885,
0.2,100,2,10,2,er,RePaRe,partition,1.0,0.0,0.0,0.3859649122807017,0.0069995709927752,
0.2,200,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0161904650158248,
0.2,500,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0191684550081845,
0.2,1000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0360414480092003,
0.2,2000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0199099549790844,
0.2,5000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0263776440115179,
0.2,10000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0397858600190375,
0.2,20000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0664603520126547,
0.2,50000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1958282770065125,
0.2,100000,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5494746229960583,
0.5,10,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0039187720103655,
0.5,100,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.3357933579335793,0.0060017979994881,
0.5,200,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,0.8598130841121495,0.0155599910067394,
0.5,500,2,10,2,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0183983909955713,
