graph_family,edge_probability,num_nodes,samp_size,num_intervs,seed,method,method_label,precision,recall,fscore,ari,runtime_sec,score
erdos_renyi,0.15,10,100,5,0,RePaRe,RePaRe,1.0,0.5,0.6666666666666666,1.0,0.0192788749700412,
erdos_renyi,0.15,10,100,5,1,RePaRe,RePaRe,1.0,1.0,1.0,0.55,0.0212915829615667,
erdos_renyi,0.15,10,100,5,2,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0262003750540316,
erdos_renyi,0.15,10,100,5,3,RePaRe,RePaRe,1.0,0.5,0.6666666666666666,1.0,0.0120667919982224,
erdos_renyi,0.15,10,100,5,4,RePaRe,RePaRe,1.0,0.0,0.0,0.7,0.010224041994661,
erdos_renyi,0.15,10,100,5,5,RePaRe,RePaRe,0.8,1.0,0.888888888888889,0.5522388059701493,0.0357245829654857,
erdos_renyi,0.15,10,100,5,6,RePaRe,RePaRe,1.0,0.6666666666666666,0.8,1.0,0.0145873329602181,
erdos_renyi,0.15,10,100,5,7,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0284816670464351,
erdos_renyi,0.15,10,100,5,8,RePaRe,RePaRe,1.0,1.0,1.0,0.7761194029850746,0.0238836669595912,
erdos_renyi,0.15,10,100,5,9,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.061284750001505,
erdos_renyi,0.15,10,100,5,10,RePaRe,RePaRe,0.6666666666666666,1.0,0.8,1.0,0.0421159579418599,
erdos_renyi,0.15,10,100,5,11,RePaRe,RePaRe,0.5,1.0,0.6666666666666666,1.0,0.0382963750744238,
erdos_renyi,0.15,10,100,5,12,RePaRe,RePaRe,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.0236087500816211,
erdos_renyi,0.15,10,100,5,13,RePaRe,RePaRe,0.8,1.0,0.888888888888889,0.6924829157175398,0.0239322499837726,
erdos_renyi,0.15,10,100,5,14,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.011023958097212,
erdos_renyi,0.15,10,100,5,15,RePaRe,RePaRe,1.0,1.0,1.0,0.3939393939393939,0.0148901659995317,
erdos_renyi,0.15,10,100,5,16,RePaRe,RePaRe,0.8,1.0,0.888888888888889,0.696969696969697,0.02078675001394,
erdos_renyi,0.15,10,100,5,17,RePaRe,RePaRe,1.0,0.8333333333333334,0.9090909090909092,1.0,0.0229126249905675,
erdos_renyi,0.15,10,100,5,18,RePaRe,RePaRe,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0341297079576179,
erdos_renyi,0.15,10,100,5,19,RePaRe,RePaRe,0.75,1.0,0.8571428571428571,0.845360824742268,0.0198456669459119,
erdos_renyi,0.15,10,1000,5,0,RePaRe,RePaRe,0.8,1.0,0.888888888888889,0.9101796407185628,0.0387733749812468,
