density,samp_size,seed,fscore,ari,runtime_sec,score,graph_family,actual_density,num_edges,ba_m
0.2,10,0,1.0,0.1009463722397476,0.0150311249963124,,scale_free,0.1,9,1
0.2,100,0,1.0,0.6456692913385826,0.0381413329960196,,scale_free,0.1,9,1
0.2,200,0,1.0,1.0,0.0487409170018509,,scale_free,0.1,9,1
0.2,500,0,1.0,1.0,0.060560958001588,,scale_free,0.1,9,1
0.2,1000,0,1.0,1.0,0.0447827500029234,,scale_free,0.1,9,1
0.2,2000,0,1.0,1.0,0.0567627499985974,,scale_free,0.1,9,1
0.2,5000,0,1.0,1.0,0.0947636250057257,,scale_free,0.1,9,1
0.2,10000,0,1.0,1.0,0.1234799999947426,,scale_free,0.1,9,1
0.2,20000,0,1.0,1.0,0.2397063329990487,,scale_free,0.1,9,1
0.2,50000,0,1.0,1.0,0.5085787919961149,,scale_free,0.1,9,1
0.2,100000,0,1.0,1.0,1.0053572920005536,,scale_free,0.1,9,1
0.5,10,0,0.0,-0.0177705977382875,0.0085644999999203,,scale_free,0.1777777777777777,16,2
0.5,100,0,0.7272727272727273,0.5423728813559322,0.1310942920026718,,scale_free,0.1777777777777777,16,2
0.5,200,0,0.8333333333333333,0.5423728813559322,0.041143499998725,,scale_free,0.1777777777777777,16,2
0.5,500,0,1.0,0.7887323943661971,0.0864904589980142,,scale_free,0.1777777777777777,16,2
0.5,1000,0,1.0,0.7887323943661971,0.1026297920034267,,scale_free,0.1777777777777777,16,2
0.5,2000,0,1.0,1.0,0.1116877079984988,,scale_free,0.1777777777777777,16,2
0.5,5000,0,1.0,1.0,0.1794127499961177,,scale_free,0.1777777777777777,16,2
0.5,10000,0,1.0,1.0,0.2701818339992314,,scale_free,0.1777777777777777,16,2
0.5,20000,0,1.0,1.0,0.674574583004869,,scale_free,0.1777777777777777,16,2
0.5,50000,0,1.0,1.0,1.3921323749964358,,scale_free,0.1777777777777777,16,2
0.5,100000,0,1.0,1.0,2.7661191250008414,,scale_free,0.1777777777777777,16,2
0.8,10,0,0.6666666666666666,-0.0448358686949559,0.0164343340002233,,scale_free,0.2666666666666666,24,4
0.8,100,0,0.4166666666666666,-0.0227272727272727,0.1346134580016951,,scale_free,0.2666666666666666,24,4
0.8,200,0,0.4,1.0,0.0970736250019399,,scale_free,0.2666666666666666,24,4
0.8,500,0,0.65,1.0,0.1812869170025806,,scale_free,0.2666666666666666,24,4
0.8,1000,0,0.8,1.0,0.2426139170056558,,scale_free,0.2666666666666666,24,4
0.8,2000,0,0.761904761904762,1.0,0.2059188749990426,,scale_free,0.2666666666666666,24,4
