density,samp_size,seed,fscore,ari,runtime_sec,score,graph_family,actual_density,num_edges,ba_m
0.2,10,0,1.0,0.0,0.0019657909870147,,scale_free,0.1,9,1
0.2,100,0,0.5,0.4827586206896552,0.0159906669869087,,scale_free,0.1,9,1
0.2,200,0,0.7142857142857143,1.0,0.0203970840084366,,scale_free,0.1,9,1
0.2,500,0,0.7142857142857143,1.0,0.0229880409897305,,scale_free,0.1,9,1
0.2,1000,0,0.7142857142857143,1.0,0.0269170420360751,,scale_free,0.1,9,1
0.2,2000,0,0.7142857142857143,1.0,0.0297345000435598,,scale_free,0.1,9,1
0.2,5000,0,0.7142857142857143,1.0,0.0380319579853676,,scale_free,0.1,9,1
0.2,10000,0,0.7142857142857143,1.0,0.0521703329868614,,scale_free,0.1,9,1
0.2,20000,0,0.7142857142857143,1.0,0.0780360829667188,,scale_free,0.1,9,1
0.2,50000,0,0.7142857142857143,1.0,0.1742074170033447,,scale_free,0.1,9,1
0.2,100000,0,0.7142857142857143,1.0,0.3542466249782592,,scale_free,0.1,9,1
0.5,10,0,0.0,0.0606060606060606,0.0026017909985966,,scale_free,0.1777777777777777,16,2
0.5,100,0,0.6666666666666666,0.6170212765957447,0.0145982920075766,,scale_free,0.1777777777777777,16,2
0.5,200,0,0.8,0.6666666666666666,0.0088000830146484,,scale_free,0.1777777777777777,16,2
0.5,500,0,0.9090909090909092,0.6666666666666666,0.0098942919867113,,scale_free,0.1777777777777777,16,2
0.5,1000,0,0.7999999999999999,0.8085106382978723,0.0164571659988723,,scale_free,0.1777777777777777,16,2
0.5,2000,0,0.6896551724137931,0.7272727272727273,0.050844290992245,,scale_free,0.1777777777777777,16,2
0.5,5000,0,0.7272727272727273,1.0,0.0378763749613426,,scale_free,0.1777777777777777,16,2
0.5,10000,0,0.7272727272727273,1.0,0.0484221670194529,,scale_free,0.1777777777777777,16,2
0.5,20000,0,0.7272727272727273,1.0,0.0779949169955216,,scale_free,0.1777777777777777,16,2
