method,selection,metric_type,ari,precision,recall,f1,runtime_sec,score,alpha,beta,alpha_ci,alpha_inv
RePaRe_grouped,score,partition,0.6263656227239621,1.0,0.5,0.6666666666666666,0.021038500002759974,1167204.7052850444,0.1,0.0001,,
RePaRe_grouped,oracle,partition,1.0,1.0,0.5,0.6666666666666666,0.02352391699969303,1167291.7978783706,0.0001,0.0001,,
RePaRe_ungrouped,score,partition,1.0,1.0,0.8,0.888888888888889,0.1355944580027426,1152658.2793327102,0.0001,0.01,,
RePaRe_ungrouped,oracle,partition,1.0,1.0,0.8,0.888888888888889,0.1355944580027426,1152658.2793327102,0.0001,0.01,,
GIES,score,edges,,0.631578947368421,0.6153846153846154,0.6233766233766234,2.051674999998795,-1148242.1911793733,,,,
GnIES,score,skeleton,,0.425531914893617,0.5128205128205128,0.4651162790697675,415.5732011250002,-540269.8670118634,,,,
UT-IGSP,score,edges,,0.4807692307692308,0.6410256410256411,0.5494505494505495,0.2625827499978186,1908868.98913255,,,0.01,0.01
UT-IGSP,oracle,edges,,0.4807692307692308,0.6410256410256411,0.5494505494505495,0.2625827499978186,1908868.98913255,,,0.01,0.01
